week_start,ilitotal,total_patients,fludeaths,pneumoniadeaths,all_deaths
2004-01-05,7602,314349,NA,NA,NA
2004-01-12,5583,308614,NA,NA,NA
2004-01-19,4961,289774,NA,NA,NA
2004-01-26,4436,287586,NA,NA,NA
2004-02-02,4251,295646,NA,NA,NA
2004-02-09,3824,288762,NA,NA,NA
2004-02-16,3691,282347,NA,NA,NA
2004-02-23,2916,281202,NA,NA,NA
2004-03-01,2744,271597,NA,NA,NA
2004-03-08,2708,257294,NA,NA,NA
2004-03-15,2487,243802,NA,NA,NA
2004-03-22,2300,248805,NA,NA,NA
2004-03-29,1858,234998,NA,NA,NA
2004-04-05,1705,212432,NA,NA,NA
2004-04-12,1749,209178,NA,NA,NA
2004-04-19,1615,203802,NA,NA,NA
2004-04-26,1331,194708,NA,NA,NA
2004-05-03,1394,184038,NA,NA,NA
2004-05-10,1327,168276,NA,NA,NA
2004-05-17,1262,155386,NA,NA,NA
2004-05-24,1070,133008,NA,NA,NA
2004-05-31,1061,120884,NA,NA,NA
2004-06-07,987,133117,NA,NA,NA
2004-06-14,851,128740,NA,NA,NA
2004-06-21,887,124037,NA,NA,NA
2004-06-28,698,124146,NA,NA,NA
2004-07-05,710,90238,NA,NA,NA
2004-07-12,836,97135,NA,NA,NA
2004-07-19,659,95515,NA,NA,NA
2004-07-26,719,92216,NA,NA,NA
2004-08-02,733,116693,NA,NA,NA
2004-08-09,809,89644,NA,NA,NA
2004-08-16,770,95481,NA,NA,NA
2004-08-23,799,91326,NA,NA,NA
2004-08-30,960,96656,NA,NA,NA
2004-09-06,913,104207,NA,NA,NA
2004-09-13,1122,118343,NA,NA,NA
2004-09-20,1089,117483,NA,NA,NA
2004-09-27,1116,114857,NA,NA,NA
2004-10-04,3171,353449,NA,NA,NA
2004-10-11,3631,355116,NA,NA,NA
2004-10-18,4019,378094,NA,NA,NA
2004-10-25,4369,380921,NA,NA,NA
2004-11-01,4551,377692,NA,NA,NA
2004-11-08,4969,380718,NA,NA,NA
2004-11-15,4983,387182,NA,NA,NA
2004-11-22,4713,295546,NA,NA,NA
2004-11-29,5407,387004,NA,NA,NA
2004-12-06,5428,374356,NA,NA,NA
2004-12-13,5755,355806,NA,NA,NA
2004-12-20,5689,259639,NA,NA,NA
2004-12-27,7279,283617,NA,NA,NA
2005-01-03,8041,369455,NA,NA,NA
2005-01-10,8323,378024,NA,NA,NA
2005-01-17,9328,368678,NA,NA,NA
2005-01-24,12422,405254,NA,NA,NA
2005-01-31,16192,406772,NA,NA,NA
2005-02-07,19369,421461,NA,NA,NA
2005-02-14,19931,419426,NA,NA,NA
2005-02-21,16630,397883,NA,NA,NA
2005-02-28,13234,383196,NA,NA,NA
2005-03-07,11601,367292,NA,NA,NA
2005-03-14,9502,355454,NA,NA,NA
2005-03-21,7900,335940,NA,NA,NA
2005-03-28,6329,334438,NA,NA,NA
2005-04-04,4816,315823,NA,NA,NA
2005-04-11,4445,314948,NA,NA,NA
2005-04-18,3825,305833,NA,NA,NA
2005-04-25,3646,302065,NA,NA,NA
2005-05-02,2990,277120,NA,NA,NA
2005-05-09,3012,263009,NA,NA,NA
2005-05-16,2531,238494,NA,NA,NA
2005-05-23,2056,194550,NA,NA,NA
2005-05-30,2099,167661,NA,NA,NA
2005-06-06,1744,171960,NA,NA,NA
2005-06-13,1614,154899,NA,NA,NA
2005-06-20,1628,170645,NA,NA,NA
2005-06-27,1359,160216,NA,NA,NA
2005-07-04,1198,142302,NA,NA,NA
2005-07-11,1148,157068,NA,NA,NA
2005-07-18,1068,149699,NA,NA,NA
2005-07-25,990,147612,NA,NA,NA
2005-08-01,982,142468,NA,NA,NA
2005-08-08,1023,145121,NA,NA,NA
2005-08-15,928,150673,NA,NA,NA
2005-08-22,922,151290,NA,NA,NA
2005-08-29,1033,151854,NA,NA,NA
2005-09-05,1061,136817,NA,NA,NA
2005-09-12,1026,150127,NA,NA,NA
2005-09-19,1219,156067,NA,NA,NA
2005-09-26,1204,149205,NA,NA,NA
2005-10-03,3586,333164,NA,NA,NA
2005-10-10,3582,338343,NA,NA,NA
2005-10-17,4122,369609,NA,NA,NA
2005-10-24,4248,377999,NA,NA,NA
2005-10-31,5005,398840,NA,NA,NA
2005-11-07,5038,376924,NA,NA,NA
2005-11-14,5276,382697,NA,NA,NA
2005-11-21,4802,298578,NA,NA,NA
2005-11-28,5966,402264,NA,NA,NA
2005-12-05,6371,385248,NA,NA,NA
2005-12-12,7697,383548,NA,NA,NA
2005-12-19,8577,333921,NA,NA,NA
2005-12-26,8842,289638,NA,NA,NA
2006-01-02,8339,343871,NA,NA,NA
2006-01-09,7882,393716,NA,NA,NA
2006-01-16,7858,381699,NA,NA,NA
2006-01-23,9114,411882,NA,NA,NA
2006-01-30,9551,411291,NA,NA,NA
2006-02-06,10427,418286,NA,NA,NA
2006-02-13,11226,401661,NA,NA,NA
2006-02-20,11901,400827,NA,NA,NA
2006-02-27,11343,399459,NA,NA,NA
2006-03-06,11261,405365,NA,NA,NA
2006-03-13,9322,376971,NA,NA,NA
2006-03-20,8064,369804,NA,NA,NA
2006-03-27,7313,362605,NA,NA,NA
2006-04-03,5738,349662,NA,NA,NA
2006-04-10,4547,334760,NA,NA,NA
2006-04-17,3550,310641,NA,NA,NA
